run,step,tag,value
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,55,train_acc,68.96599578857422
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,56,train_acc,69.30799865722656
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,57,train_acc,68.96399688720703
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,58,train_acc,69.08200073242188
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,59,train_acc,69.19999694824219
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,60,train_acc,69.52399444580078
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,61,train_acc,68.9959945678711
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,62,train_acc,69.34400177001953
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,63,train_acc,69.22599792480469
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,64,train_acc,69.13800048828125
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,65,train_acc,69.43999481201172
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,66,train_acc,69.46199798583984
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,67,train_acc,69.3479995727539
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,68,train_acc,69.43599700927734
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,69,train_acc,69.43999481201172
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,70,train_acc,69.7719955444336
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,71,train_acc,69.58000183105469
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,72,train_acc,69.44999694824219
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,73,train_acc,69.53399658203125
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,74,train_acc,69.56199645996094
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,75,train_acc,69.37999725341797
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,76,train_acc,69.39799499511719
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,77,train_acc,69.64399719238281
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,78,train_acc,69.86799621582031
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,79,train_acc,69.73199462890625
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,80,train_acc,69.97599792480469
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,81,train_acc,69.74199676513672
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,82,train_acc,69.70399475097656
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,83,train_acc,69.84199523925781
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,84,train_acc,69.72000122070312
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,85,train_acc,69.74800109863281
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,86,train_acc,69.9280014038086
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,87,train_acc,69.95199584960938
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,88,train_acc,69.85199737548828
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,89,train_acc,69.86399841308594
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,90,train_acc,69.93599700927734
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,91,train_acc,70.0979995727539
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,92,train_acc,69.75999450683594
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,93,train_acc,69.802001953125
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,94,train_acc,70.27799987792969
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,95,train_acc,70.19400024414062
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,96,train_acc,70.0
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,97,train_acc,69.9280014038086
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,98,train_acc,70.08999633789062
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,99,train_acc,70.01399993896484
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,100,train_acc,69.91799926757812
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,101,train_acc,69.9219970703125
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,102,train_acc,70.40999603271484
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,103,train_acc,70.0719985961914
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,104,train_acc,69.9000015258789
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,105,train_acc,70.00399780273438
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,106,train_acc,70.53199768066406
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,107,train_acc,70.13399505615234
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,108,train_acc,70.41199493408203
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,109,train_acc,70.07599639892578
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,110,train_acc,70.18000030517578
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,111,train_acc,70.0479965209961
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,112,train_acc,70.23999786376953
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,113,train_acc,70.45800018310547
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,114,train_acc,70.40799713134766
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,115,train_acc,70.35199737548828
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,116,train_acc,69.89599609375
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,117,train_acc,70.11199951171875
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,118,train_acc,70.4000015258789
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,119,train_acc,70.15399932861328
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,120,train_acc,70.30799865722656
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,121,train_acc,70.3479995727539
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,122,train_acc,70.23600006103516
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,123,train_acc,70.43399810791016
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,124,train_acc,70.30400085449219
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,125,train_acc,70.28599548339844
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,126,train_acc,70.41400146484375
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,127,train_acc,70.3759994506836
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,128,train_acc,70.29199981689453
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,129,train_acc,70.32599639892578
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,130,train_acc,70.35599517822266
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,131,train_acc,70.40599822998047
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,132,train_acc,70.2699966430664
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,133,train_acc,70.56199645996094
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,134,train_acc,70.39599609375
