step,tag,value
1,train_acc,6.059999942779541
2,train_acc,10.358306884765625
3,train_acc,13.828024864196777
4,train_acc,17.557632446289062
5,train_acc,21.66595458984375
6,train_acc,25.934328079223633
7,train_acc,28.859647750854492
8,train_acc,32.57306671142578
9,train_acc,35.65730285644531
10,train_acc,38.22038650512695
11,train_acc,40.58918762207031
12,train_acc,41.95225524902344
13,train_acc,44.546875
14,train_acc,46.70588302612305
15,train_acc,48.15577697753906
16,train_acc,49.96049499511719
17,train_acc,50.34951400756836
18,train_acc,51.58472442626953
19,train_acc,53.230045318603516
20,train_acc,54.32121658325195
21,train_acc,59.30269241333008
22,train_acc,60.11454772949219
23,train_acc,60.80003356933594
24,train_acc,60.867679595947266
25,train_acc,61.25213623046875
26,train_acc,62.13473892211914
27,train_acc,61.93360900878906
28,train_acc,62.437625885009766
29,train_acc,62.661293029785156
30,train_acc,62.906558990478516
31,train_acc,63.67451095581055
32,train_acc,63.57060241699219
33,train_acc,63.59541702270508
34,train_acc,64.09281158447266
35,train_acc,63.73234558105469
36,train_acc,64.2298812866211
37,train_acc,64.35144805908203
38,train_acc,64.61054229736328
39,train_acc,64.51464080810547
40,train_acc,64.48392486572266
41,train_acc,66.95403289794922
42,train_acc,67.20953369140625
43,train_acc,67.19865417480469
44,train_acc,66.58568572998047
45,train_acc,66.96710205078125
46,train_acc,66.9756088256836
47,train_acc,66.99356842041016
48,train_acc,66.61048889160156
49,train_acc,66.675048828125
50,train_acc,66.75272369384766
51,train_acc,67.04206085205078
52,train_acc,67.02892303466797
53,train_acc,67.06527709960938
54,train_acc,66.4202651977539
55,train_acc,66.7315673828125
56,train_acc,66.572265625
57,train_acc,66.29768371582031
58,train_acc,66.234619140625
59,train_acc,65.84986114501953
60,train_acc,66.39270782470703
61,train_acc,66.45555877685547
62,train_acc,66.42916107177734
63,train_acc,66.25067901611328
64,train_acc,66.21501159667969
65,train_acc,66.24331665039062
66,train_acc,66.1553955078125
67,train_acc,65.82676696777344
68,train_acc,65.83786010742188
69,train_acc,65.89690399169922
70,train_acc,65.61853790283203
71,train_acc,65.8117904663086
72,train_acc,65.61856842041016
73,train_acc,65.67662048339844
74,train_acc,65.60789489746094
75,train_acc,65.53789520263672
76,train_acc,65.24363708496094
77,train_acc,65.39099884033203
78,train_acc,65.12037658691406
79,train_acc,65.85498809814453
80,train_acc,64.82532501220703
81,train_acc,65.0666275024414
82,train_acc,65.23413848876953
83,train_acc,65.27609252929688
84,train_acc,65.16458129882812
85,train_acc,65.14561462402344
86,train_acc,65.19776153564453
87,train_acc,64.90609741210938
88,train_acc,64.85368347167969
89,train_acc,64.63459777832031
90,train_acc,64.66305541992188
91,train_acc,64.56344604492188
92,train_acc,64.74919891357422
93,train_acc,64.28389739990234
94,train_acc,64.8096694946289
95,train_acc,64.43424224853516
96,train_acc,64.0655746459961
97,train_acc,64.32510375976562
98,train_acc,64.45075225830078
99,train_acc,64.36917114257812
100,train_acc,64.10602569580078
101,train_acc,63.99399948120117
102,train_acc,63.97200012207031
103,train_acc,64.12799835205078
104,train_acc,64.0719985961914
105,train_acc,64.00599670410156
106,train_acc,63.8599967956543
107,train_acc,64.5199966430664
108,train_acc,64.58799743652344
109,train_acc,64.0999984741211
110,train_acc,64.60599517822266
111,train_acc,64.48999786376953
112,train_acc,63.987998962402344
113,train_acc,64.60800170898438
114,train_acc,64.40399932861328
115,train_acc,64.24800109863281
116,train_acc,64.5459976196289
117,train_acc,64.68000030517578
118,train_acc,64.61199951171875
119,train_acc,64.41199493408203
120,train_acc,64.39799499511719
121,train_acc,64.5219955444336
122,train_acc,64.6719970703125
123,train_acc,64.56999969482422
124,train_acc,64.76799774169922
125,train_acc,64.447998046875
126,train_acc,64.50399780273438
127,train_acc,64.57599639892578
128,train_acc,64.66400146484375
129,train_acc,64.93199920654297
130,train_acc,64.6240005493164
131,train_acc,64.67599487304688
132,train_acc,64.7179946899414
133,train_acc,64.70399475097656
134,train_acc,64.95600128173828
135,train_acc,65.09400177001953
136,train_acc,64.71399688720703
137,train_acc,64.78199768066406
138,train_acc,64.91799926757812
139,train_acc,64.52799987792969
140,train_acc,64.9939956665039
141,train_acc,64.55599975585938
142,train_acc,64.80599975585938
143,train_acc,64.88999938964844
144,train_acc,65.32799530029297
145,train_acc,64.55799865722656
146,train_acc,65.04999542236328
147,train_acc,65.12200164794922
148,train_acc,64.81399536132812
149,train_acc,64.70199584960938
150,train_acc,64.93000030517578
151,train_acc,74.32799530029297
152,train_acc,76.70800018310547
153,train_acc,77.51200103759766
154,train_acc,78.22000122070312
155,train_acc,78.84199523925781
156,train_acc,79.20999908447266
157,train_acc,79.59400177001953
158,train_acc,79.7179946899414
159,train_acc,80.07599639892578
160,train_acc,80.25999450683594
