step,tag,value
1,train_acc,10.387999534606934
2,train_acc,21.56599998474121
3,train_acc,30.851999282836914
4,train_acc,37.79199981689453
5,train_acc,42.79999923706055
6,train_acc,46.16600036621094
7,train_acc,49.209999084472656
8,train_acc,51.435997009277344
9,train_acc,52.96999740600586
10,train_acc,54.27799987792969
11,train_acc,55.54399871826172
12,train_acc,56.354000091552734
13,train_acc,57.46399688720703
14,train_acc,57.86199951171875
15,train_acc,58.48999786376953
16,train_acc,59.21799850463867
17,train_acc,59.305999755859375
18,train_acc,59.7339973449707
19,train_acc,60.12799835205078
20,train_acc,60.41999816894531
21,train_acc,60.83199691772461
22,train_acc,61.03799819946289
23,train_acc,61.487998962402344
24,train_acc,61.60599899291992
25,train_acc,61.6719970703125
26,train_acc,61.917999267578125
27,train_acc,62.38399887084961
28,train_acc,62.04199981689453
29,train_acc,62.323997497558594
30,train_acc,62.461997985839844
31,train_acc,62.507999420166016
32,train_acc,62.54199981689453
33,train_acc,62.46999740600586
34,train_acc,62.81999969482422
35,train_acc,62.70199966430664
36,train_acc,62.895999908447266
37,train_acc,62.865997314453125
38,train_acc,62.89799880981445
39,train_acc,63.40199661254883
40,train_acc,63.54199981689453
41,train_acc,63.3120002746582
42,train_acc,63.551998138427734
43,train_acc,63.413997650146484
44,train_acc,63.39399719238281
45,train_acc,63.36199951171875
46,train_acc,63.53999710083008
47,train_acc,63.70199966430664
48,train_acc,63.78999710083008
49,train_acc,63.75
50,train_acc,64.18000030517578
51,train_acc,63.737998962402344
52,train_acc,63.83599853515625
53,train_acc,63.83599853515625
54,train_acc,64.04000091552734
55,train_acc,63.76199722290039
56,train_acc,64.09600067138672
57,train_acc,64.0479965209961
58,train_acc,64.2959976196289
59,train_acc,64.29999542236328
60,train_acc,64.18399810791016
61,train_acc,64.33599853515625
62,train_acc,64.2459945678711
63,train_acc,64.10199737548828
64,train_acc,64.5
65,train_acc,64.53199768066406
66,train_acc,64.61599731445312
67,train_acc,64.41600036621094
68,train_acc,64.52799987792969
69,train_acc,64.29399871826172
70,train_acc,64.47599792480469
71,train_acc,64.60199737548828
72,train_acc,64.5459976196289
73,train_acc,64.7719955444336
74,train_acc,64.81800079345703
75,train_acc,64.5479965209961
76,train_acc,64.55599975585938
77,train_acc,64.4739990234375
78,train_acc,64.58799743652344
79,train_acc,64.48999786376953
80,train_acc,64.66799926757812
81,train_acc,64.73799896240234
82,train_acc,64.74800109863281
83,train_acc,64.51799774169922
84,train_acc,64.58999633789062
85,train_acc,64.66999816894531
86,train_acc,64.62999725341797
87,train_acc,64.98199462890625
88,train_acc,64.94999694824219
89,train_acc,64.7959976196289
90,train_acc,64.81199645996094
91,train_acc,65.13399505615234
92,train_acc,64.94599914550781
93,train_acc,64.52799987792969
94,train_acc,64.77400207519531
95,train_acc,64.76000213623047
96,train_acc,64.94599914550781
97,train_acc,64.7439956665039
98,train_acc,64.93000030517578
99,train_acc,64.95999908447266
100,train_acc,65.01200103759766
101,train_acc,64.93599700927734
102,train_acc,65.07799530029297
103,train_acc,65.02999877929688
104,train_acc,64.75
105,train_acc,65.2699966430664
106,train_acc,64.97999572753906
107,train_acc,65.01200103759766
108,train_acc,65.10800170898438
109,train_acc,64.86799621582031
110,train_acc,64.94599914550781
111,train_acc,64.97799682617188
112,train_acc,64.83200073242188
113,train_acc,65.21599578857422
114,train_acc,65.02799987792969
115,train_acc,64.89399719238281
116,train_acc,64.53199768066406
117,train_acc,64.97599792480469
118,train_acc,65.37200164794922
119,train_acc,65.1719970703125
120,train_acc,65.24800109863281
121,train_acc,65.16199493408203
122,train_acc,65.29399871826172
123,train_acc,65.16600036621094
124,train_acc,64.9679946899414
125,train_acc,65.2719955444336
126,train_acc,65.26000213623047
127,train_acc,65.48199462890625
128,train_acc,65.31600189208984
129,train_acc,65.1259994506836
130,train_acc,65.23799896240234
131,train_acc,65.04199981689453
132,train_acc,65.4739990234375
133,train_acc,65.08799743652344
134,train_acc,65.33000183105469
135,train_acc,65.50399780273438
136,train_acc,65.34199523925781
137,train_acc,65.29199981689453
138,train_acc,65.32599639892578
139,train_acc,65.27799987792969
140,train_acc,65.18999481201172
141,train_acc,65.14399719238281
142,train_acc,65.39799499511719
143,train_acc,65.09400177001953
144,train_acc,65.19999694824219
145,train_acc,65.18000030517578
146,train_acc,65.20399475097656
147,train_acc,65.06199645996094
148,train_acc,65.45199584960938
149,train_acc,65.35800170898438
150,train_acc,65.18399810791016
151,train_acc,74.5219955444336
152,train_acc,76.68599700927734
153,train_acc,77.95399475097656
154,train_acc,78.53599548339844
155,train_acc,79.21599578857422
156,train_acc,79.27999877929688
157,train_acc,79.79000091552734
158,train_acc,80.01799774169922
159,train_acc,80.44200134277344
160,train_acc,80.61000061035156
161,train_acc,80.77399444580078
162,train_acc,81.22799682617188
163,train_acc,81.18999481201172
164,train_acc,81.33999633789062
165,train_acc,81.33999633789062
166,train_acc,81.62799835205078
167,train_acc,81.6500015258789
168,train_acc,81.75
169,train_acc,81.90599822998047
170,train_acc,81.82999420166016
171,train_acc,82.05599975585938
172,train_acc,82.05999755859375
173,train_acc,82.13600158691406
174,train_acc,82.06800079345703
175,train_acc,82.17599487304688
176,train_acc,82.22999572753906
177,train_acc,81.9959945678711
178,train_acc,81.99199676513672
179,train_acc,82.37999725341797
180,train_acc,82.10399627685547
181,train_acc,85.17399597167969
182,train_acc,85.9219970703125
183,train_acc,86.28599548339844
184,train_acc,86.27999877929688
185,train_acc,86.40399932861328
186,train_acc,86.70600128173828
187,train_acc,86.64599609375
188,train_acc,86.84600067138672
189,train_acc,86.66600036621094
190,train_acc,86.93399810791016
191,train_acc,87.0979995727539
192,train_acc,87.12999725341797
193,train_acc,87.08799743652344
194,train_acc,87.10399627685547
195,train_acc,87.51799774169922
196,train_acc,87.26399993896484
197,train_acc,87.35199737548828
198,train_acc,87.29399871826172
199,train_acc,87.45199584960938
200,train_acc,87.58999633789062
201,train_acc,87.40999603271484
202,train_acc,87.64599609375
203,train_acc,87.47200012207031
204,train_acc,87.5479965209961
205,train_acc,87.75599670410156
206,train_acc,87.80999755859375
207,train_acc,87.77999877929688
208,train_acc,87.8699951171875
209,train_acc,87.96599578857422
210,train_acc,87.97000122070312
211,train_acc,88.38199615478516
212,train_acc,88.43599700927734
213,train_acc,88.39199829101562
214,train_acc,88.45600128173828
215,train_acc,88.40799713134766
216,train_acc,88.35799407958984
217,train_acc,88.51399993896484
218,train_acc,88.37199401855469
219,train_acc,88.36199951171875
220,train_acc,88.29199981689453
221,train_acc,88.35399627685547
222,train_acc,88.43999481201172
223,train_acc,88.7459945678711
224,train_acc,88.47999572753906
225,train_acc,88.39399719238281
226,train_acc,88.5459976196289
227,train_acc,88.50399780273438
228,train_acc,88.44599914550781
229,train_acc,88.5
230,train_acc,88.66199493408203
231,train_acc,88.6240005493164
232,train_acc,88.61399841308594
233,train_acc,88.6240005493164
234,train_acc,88.68999481201172
235,train_acc,88.447998046875
236,train_acc,88.64199829101562
237,train_acc,88.53799438476562
238,train_acc,88.48400115966797
239,train_acc,88.61399841308594
240,train_acc,88.45399475097656
1,train_loss,8.683856010437012
2,train_loss,7.518589973449707
3,train_loss,6.644412040710449
4,train_loss,6.037929534912109
5,train_loss,5.614981651306152
6,train_loss,5.334721088409424
7,train_loss,5.105337142944336
8,train_loss,4.92934513092041
9,train_loss,4.762601375579834
10,train_loss,4.659457683563232
11,train_loss,4.564983367919922
12,train_loss,4.483158111572266
13,train_loss,4.398928165435791
14,train_loss,4.3721513748168945
15,train_loss,4.298811912536621
16,train_loss,4.2701897621154785
17,train_loss,4.224339485168457
18,train_loss,4.197089195251465
19,train_loss,4.14539098739624
20,train_loss,4.132587432861328
21,train_loss,4.132001876831055
22,train_loss,4.098220348358154
23,train_loss,4.0844573974609375
24,train_loss,4.039807319641113
25,train_loss,4.035721778869629
26,train_loss,4.034650802612305
27,train_loss,3.99412202835083
28,train_loss,4.004777908325195
29,train_loss,3.9812710285186768
30,train_loss,3.968498706817627
31,train_loss,3.963446855545044
32,train_loss,3.966630458831787
33,train_loss,3.959444761276245
34,train_loss,3.9417479038238525
35,train_loss,3.937920570373535
36,train_loss,3.9384090900421143
37,train_loss,3.932861566543579
38,train_loss,3.9175868034362793
39,train_loss,3.887021541595459
40,train_loss,3.8804941177368164
41,train_loss,3.8812007904052734
42,train_loss,3.874530792236328
43,train_loss,3.8815505504608154
44,train_loss,3.892366886138916
45,train_loss,3.8855247497558594
46,train_loss,3.8661532402038574
47,train_loss,3.864384174346924
48,train_loss,3.8513119220733643
49,train_loss,3.852353811264038
50,train_loss,3.832658052444458
51,train_loss,3.8438634872436523
52,train_loss,3.850137948989868
53,train_loss,3.8409152030944824
54,train_loss,3.8412024974823
55,train_loss,3.847813844680786
56,train_loss,3.8323557376861572
57,train_loss,3.8296446800231934
58,train_loss,3.8310368061065674
59,train_loss,3.8145267963409424
60,train_loss,3.825183153152466
61,train_loss,3.808774471282959
62,train_loss,3.815492630004883
63,train_loss,3.814988851547241
64,train_loss,3.7948005199432373
65,train_loss,3.7916266918182373
66,train_loss,3.7880873680114746
67,train_loss,3.788365602493286
68,train_loss,3.800769805908203
69,train_loss,3.802913188934326
70,train_loss,3.801395893096924
71,train_loss,3.797513723373413
72,train_loss,3.785658836364746
73,train_loss,3.7707037925720215
74,train_loss,3.765270948410034
75,train_loss,3.79248309135437
76,train_loss,3.7751028537750244
77,train_loss,3.7556605339050293
78,train_loss,3.77650785446167
79,train_loss,3.783567428588867
80,train_loss,3.7551631927490234
81,train_loss,3.769818067550659
82,train_loss,3.7652125358581543
83,train_loss,3.7606515884399414
84,train_loss,3.772099256515503
85,train_loss,3.7595174312591553
86,train_loss,3.7765140533447266
87,train_loss,3.768390655517578
88,train_loss,3.7742512226104736
89,train_loss,3.756215810775757
90,train_loss,3.7619030475616455
91,train_loss,3.7531142234802246
92,train_loss,3.742593765258789
93,train_loss,3.770297050476074
94,train_loss,3.7376925945281982
