step,tag,value
1,train_acc,10.539999961853027
2,train_acc,22.809999465942383
3,train_acc,31.95599937438965
4,train_acc,38.847999572753906
5,train_acc,44.92000198364258
6,train_acc,47.93333435058594
7,train_acc,48.746665954589844
8,train_acc,50.90666580200195
9,train_acc,51.733333587646484
10,train_acc,53.37333297729492
11,train_acc,54.78666687011719
12,train_acc,55.959999084472656
13,train_acc,56.253334045410156
14,train_acc,57.93333435058594
15,train_acc,59.69333267211914
16,train_acc,59.78666687011719
17,train_acc,60.253334045410156
18,train_acc,63.15999984741211
19,train_acc,62.119998931884766
20,train_acc,63.253334045410156
21,train_acc,64.33333587646484
22,train_acc,65.02666473388672
23,train_acc,66.72000122070312
24,train_acc,66.42666625976562
25,train_acc,56.2400016784668
26,train_acc,57.893333435058594
27,train_acc,59.546669006347656
28,train_acc,60.333335876464844
29,train_acc,61.959999084472656
30,train_acc,63.78666687011719
31,train_acc,64.41333770751953
32,train_acc,64.62667083740234
33,train_acc,64.84000396728516
34,train_acc,67.02666473388672
35,train_acc,66.98666381835938
36,train_acc,67.53333282470703
37,train_acc,68.66666412353516
38,train_acc,71.01333618164062
39,train_acc,70.06666564941406
40,train_acc,71.01333618164062
41,train_acc,71.1866683959961
42,train_acc,72.08000183105469
43,train_acc,72.01333618164062
44,train_acc,73.31999969482422
45,train_acc,65.19999694824219
46,train_acc,69.74666595458984
47,train_acc,70.7066650390625
48,train_acc,71.26667022705078
49,train_acc,72.97333526611328
50,train_acc,73.21333312988281
51,train_acc,73.61333465576172
52,train_acc,75.45333099365234
53,train_acc,75.27999877929688
54,train_acc,75.13333129882812
55,train_acc,76.74666595458984
56,train_acc,76.77333068847656
57,train_acc,77.02666473388672
58,train_acc,77.68000030517578
59,train_acc,77.09333038330078
60,train_acc,78.09333801269531
61,train_acc,78.26667022705078
62,train_acc,80.62667083740234
63,train_acc,79.30667114257812
64,train_acc,79.20000457763672
65,train_acc,70.25333404541016
66,train_acc,72.53333282470703
67,train_acc,74.33333587646484
68,train_acc,75.21333312988281
69,train_acc,75.44000244140625
70,train_acc,77.1066665649414
71,train_acc,77.1066665649414
72,train_acc,78.05333709716797
73,train_acc,78.66666412353516
74,train_acc,79.17333221435547
75,train_acc,77.44000244140625
76,train_acc,78.95999908447266
77,train_acc,79.90666961669922
78,train_acc,80.37333679199219
79,train_acc,80.09333801269531
80,train_acc,81.42666625976562
81,train_acc,79.46666717529297
82,train_acc,81.25333404541016
83,train_acc,81.08000183105469
84,train_acc,82.42666625976562
85,train_acc,71.20000457763672
86,train_acc,73.87999725341797
87,train_acc,75.2933349609375
88,train_acc,77.0
89,train_acc,78.86666870117188
90,train_acc,79.57333374023438
91,train_acc,78.76000213623047
92,train_acc,79.78666687011719
93,train_acc,79.85333251953125
94,train_acc,81.22666931152344
95,train_acc,81.01333618164062
96,train_acc,80.74666595458984
97,train_acc,80.87999725341797
98,train_acc,80.86666870117188
99,train_acc,81.38666534423828
100,train_acc,82.06666564941406
101,train_acc,82.8133316040039
102,train_acc,83.17333221435547
103,train_acc,82.95999908447266
104,train_acc,83.57333374023438
105,train_acc,70.4800033569336
106,train_acc,74.586669921875
107,train_acc,75.62667083740234
108,train_acc,77.06666564941406
109,train_acc,77.76000213623047
110,train_acc,78.78666687011719
111,train_acc,80.23999786376953
112,train_acc,79.66666412353516
113,train_acc,80.86666870117188
114,train_acc,80.78666687011719
115,train_acc,81.04000091552734
116,train_acc,81.55999755859375
117,train_acc,82.22666931152344
118,train_acc,82.8133316040039
119,train_acc,81.73333740234375
120,train_acc,82.6933364868164
121,train_acc,82.20000457763672
122,train_acc,82.93333435058594
123,train_acc,82.65333557128906
124,train_acc,84.08000183105469
125,train_acc,70.63999938964844
126,train_acc,75.1066665649414
127,train_acc,77.90666961669922
128,train_acc,78.76000213623047
129,train_acc,79.98666381835938
130,train_acc,81.0
131,train_acc,81.02666473388672
132,train_acc,81.44000244140625
133,train_acc,82.22666931152344
134,train_acc,83.31999969482422
135,train_acc,83.30667114257812
136,train_acc,83.09333801269531
137,train_acc,82.38666534423828
138,train_acc,83.05333709716797
139,train_acc,84.38666534423828
140,train_acc,83.91999816894531
141,train_acc,84.49333190917969
142,train_acc,83.38666534423828
143,train_acc,83.82666778564453
144,train_acc,84.25333404541016
145,train_acc,69.586669921875
146,train_acc,73.5999984741211
147,train_acc,75.5999984741211
148,train_acc,76.586669921875
149,train_acc,78.20000457763672
150,train_acc,79.17333221435547
151,train_acc,88.2933349609375
152,train_acc,91.65333557128906
153,train_acc,92.13333129882812
154,train_acc,93.4000015258789
155,train_acc,93.37333679199219
156,train_acc,94.09333801269531
157,train_acc,94.4000015258789
158,train_acc,94.46666717529297
159,train_acc,94.84000396728516
160,train_acc,95.20000457763672
161,train_acc,95.42666625976562
162,train_acc,95.50666809082031
163,train_acc,95.44000244140625
164,train_acc,95.77333068847656
165,train_acc,91.84000396728516
166,train_acc,93.42666625976562
167,train_acc,93.68000030517578
168,train_acc,94.4800033569336
169,train_acc,94.74666595458984
170,train_acc,94.6933364868164
171,train_acc,94.93333435058594
172,train_acc,95.13333129882812
173,train_acc,95.63999938964844
174,train_acc,95.66666412353516
175,train_acc,95.93333435058594
176,train_acc,95.9866714477539
177,train_acc,96.16000366210938
178,train_acc,96.1066665649414
179,train_acc,96.31999969482422
